Crash Year,Crash Month,Crash Day,Time of Day,City or Township,Crash: Intersection,Crash: Hit-and-Run,Lighting Conditions,Highway Class,Highway Number,Speed Limit at Crash Site,Weather Conditions (2016+),Worst Injury in Crash,Traffic Control,Trafficway,Crash Type
2012,July,2,1:00 AM - 2:00 AM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Michigan route,M-3,35,Uncoded & errors,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,March,22,4:00 PM - 5:00 PM,Wayne County: River Rouge,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Possible injury (C),None,One-way trafficway,Single motor vehicle
2012,February,2,5:00 PM - 6:00 PM,Wayne County: Plymouth Twp.,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Suspected serious injury (A),None,Not physically divided (two-way trafficway),Other / unknown
2012,October,17,3:00 PM - 4:00 PM,Wayne County: Dearborn Heights,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,40,Uncoded & errors,Suspected minor injury (B),Signal,Not physically divided (two-way trafficway),Other / unknown
2012,April,30,11:00 PM - 12:00 midnight,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Michigan route,M-5,35,Uncoded & errors,Possible injury (C),Signal,Not physically divided (two-way trafficway),Other / unknown
2012,May,17,7:00 PM - 8:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,No injury (O),None,Not physically divided (two-way trafficway),Other / unknown
2012,May,30,11:00 PM - 12:00 midnight,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,No injury (O),None,Not physically divided (two-way trafficway),Other / unknown
2012,August,25,9:00 PM - 10:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,December,10,10:00 AM - 11:00 AM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Michigan route,M-3,35,Uncoded & errors,Suspected serious injury (A),None,Not physically divided (two-way trafficway),Single motor vehicle
2012,December,12,7:00 PM - 8:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,35,Uncoded & errors,Suspected minor injury (B),Signal,Not physically divided (two-way trafficway),Single motor vehicle
2012,July,15,5:00 PM - 6:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Uncoded & errors,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Other / unknown
