Crash Year,Crash Month,Crash Day,Time of Day,City or Township,Crash: Intersection,Crash: Hit-and-Run,Lighting Conditions,Highway Class,Highway Number,Speed Limit at Crash Site,Weather Conditions (2016+),Worst Injury in Crash,Traffic Control,Trafficway,Crash Type,Total
2019,January,1,2:00 AM - 3:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Michigan route,M-102\US-102,40,Rain,No injury (O),None,"Divided highway, median strip, with traffic barrier",Other,1
2019,February,1,6:00 PM - 7:00 PM,Wayne County: Romulus,Not intersection crash,Not hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,45,Cloudy,Possible injury (C),None,Not physically divided (two-way trafficway),Sideswipe same direction,1
2019,February,1,10:00 AM - 11:00 AM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Interstate route,M-94\I-94\I-94BL\I-94BR,30,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,February,1,2:00 PM - 3:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Michigan route,M-5,35,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Other,1
2019,March,1,7:00 PM - 8:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,25,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Other,1
2019,March,1,10:00 AM - 11:00 AM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,No injury (O),Stop sign,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,March,1,11:00 AM - 12:00 noon,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Clear,No injury (O),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,April,1,3:00 PM - 4:00 PM,Wayne County: Dearborn,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Other,1
2019,May,1,7:00 AM - 8:00 AM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Michigan route,M-53,35,Cloudy,Suspected serious injury (A),Signal,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,May,1,12:00 midnight - 1:00 AM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,25,Rain,Suspected serious injury (A),Signal,Not physically divided (two-way trafficway),Other,1
2019,June,1,12:00 noon - 1:00 PM,Wayne County: Dearborn Heights,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,45,Clear,Suspected minor injury (B),Signal,Not physically divided (two-way trafficway),Unknown,1
2019,June,1,1:00 AM - 2:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,U.S. route,M-12\US-12\US-12BL\US-12BR,35,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,June,1,10:00 PM - 11:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Michigan route,M-3,35,Rain,Suspected minor injury (B),Signal,Not physically divided (two-way trafficway),Other,1
2019,June,1,8:00 PM - 9:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,30,Cloudy,Suspected minor injury (B),None,"Divided highway, median strip, without traffic barrier",Single motor vehicle,1
2019,July,1,10:00 AM - 11:00 AM,Wayne County: Southgate,Intersection crash,Not hit-and-run,Unknown,Michigan route,M-85,25,Unknown,Suspected minor injury (B),Stop sign,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,July,1,6:00 PM - 7:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Interstate business loop or spur,I-375,30,Clear,No injury (O),Signal,Not physically divided (two-way trafficway),Other,1
2019,July,1,1:00 PM - 2:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Other,1
2019,July,1,5:00 PM - 6:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dawn,"County road, city street, or unknown",Local road or unknown,30,Clear,Suspected minor injury (B),None,"Divided highway, median strip, without traffic barrier",Single motor vehicle,1
2019,July,1,7:00 PM - 8:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,Uncoded & errors,Clear,Possible injury (C),Stop sign,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,August,1,4:00 PM - 5:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,35,Clear,No injury (O),None,Not physically divided (two-way trafficway),Other,1
2019,September,1,5:00 PM - 6:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,Uncoded & errors,Cloudy,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,October,1,7:00 PM - 8:00 PM,Wayne County: Canton Twp.,Not intersection crash,Not hit-and-run,Dusk,"County road, city street, or unknown",Local road or unknown,25,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Other,1
2019,October,1,2:00 PM - 3:00 PM,Wayne County: Taylor,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,40,Clear,Suspected serious injury (A),None,Not physically divided (two-way trafficway),Other,1
2019,October,1,8:00 PM - 9:00 PM,Wayne County: Livonia,Intersection crash,Not hit-and-run,Dark lighted,Michigan route,M-14\M-14old,40,Cloudy,Suspected serious injury (A),None,"Two-way, with continuous left-turn lane",Single motor vehicle,1
2019,October,1,3:00 PM - 4:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Michigan route,M-1,25,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,October,1,4:00 AM - 5:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Uncoded & errors,Local road or unknown,35,Clear,No injury (O),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,October,1,6:00 AM - 7:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Michigan route,M-102\US-102,40,Clear,Possible injury (C),Signal,"Divided highway, median strip, without traffic barrier",Other,1
2019,November,1,4:00 PM - 5:00 PM,Wayne County: Northville Twp.,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,45,Clear,Suspected minor injury (B),Signal,Not physically divided (two-way trafficway),Other,1
2019,November,1,11:00 PM - 12:00 midnight,Wayne County: Livonia,Not intersection crash,Not hit-and-run,Dark lighted,Interstate route,M-96\I-96\I-96BS,70,Clear,No injury (O),Yield sign,One-way trafficway,Other,1
2019,January,2,5:00 PM - 6:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,U.S. route,M-12\US-12\US-12BL\US-12BR,35,Rain,Suspected serious injury (A),None,Not physically divided (two-way trafficway),Single motor vehicle,1
2019,February,2,1:00 PM - 2:00 PM,Wayne County: Westland,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,40,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Other,1
